,minimum,maximum
R03059__cytop,-1000.0,1000.0
R03544__cytop,-1000.0,1000.0
R00770__chlo,-1000.0,1000.0
R03026__cytop,-1000.0,1000.0000000000002
R00717__cytop,-1000.0,1000.0
R01103__cytop,-1000.0,1000.0
R00867__chlo,-1000.0,1000.0
R12990__cytop,-1000.0,1000.0000000000053
R00756__chlo,-1000.0,1000.0
R00767__cytop,-1000.0,1000.0
R00315__cytop,-999.9999999999998,1000.0
R06863__cytop,-1000.0,1000.0
R01324__mito,-1000.0,1000.0
R01175__cytop,-1000.0,1000.0
TR2000863_chlomem__chlomem,-1000.0,1000.0
R00299__extr,-1000.0,1000.0
TR0000150_plasmem__plasmem,-1000.0,1000.0
T_CO2th__chlomem,-1000.0,1000.0
R01166__extr,-1000.0,999.9999999999673
R09948__extr,-1000.0,1000.0
R03429__cytop,-1000.0,999.9999999999999
R01138__chlo,-1000.0,1000.0
R11218__mito,-1000.0,1000.0
T_H2Otm__mitmem,-1000.0,1000.0
R09087__cytop,-1000.0,1000.0
R00616__cytop,-999.9999999999999,999.9999999999999
R03968__cytop,-1000.0,1000.0
R00866__extr,-999.9999999999987,999.9999999999958
R02391__cytop,-1000.0,1000.0
T_NADtr__ermem,-1000.0,1000.0
R09949__cytop,-1000.0,1000.0000000000001
R02406__cytop,-1000.0,1000.0
R00480__extr,-1000.0000000000009,999.9999999999989
R00770__cytop,-1000.0,1000.0
TR2000044_mitmem__mitmem,-1000.0,1000.0
R00214__cytop,-1000.0,1000.0
R11099__chlo,-1000.0,1000.0
T_PIter__ermem__ermem,-1000.0,1000.0
R11098__chlo,-999.9999999999999,999.9999999999999
R00094__cytop,-1000.0,1000.0
R03920__extr,-1000.0000000000059,1000.0000000000007
TH2O__cytop,-1000.0,1000.0
R08558__cytop,-1000.0000000000356,1000.0000000000182
R07168__extr,-1000.0000000000002,1000.0
TR2000193_mitmem__mitmem,-1000.0,1000.0
R00895__cytop,-999.9999999999991,999.9999999999998
R04001__extr,-1000.0,1000.0
R01327__chlo,-1000.0,1000.0
R01290__cytop,-1000.0000000000018,1000.0
R00480__cytop,-1000.0,1000.0
R00251__cytop,-1000.0000000000002,1000.0
TR2918343_mitmem__mitmem,-1000.0,1000.0
R11217__nuc,-1000.0,1000.0
R00430__cytop,-1000.0,1000.0
R10789__extr,-1000.0,1000.0
TR0000254_chlomem__chlomem,-1000.0000000000005,1000.0
R01395__chlo,-999.9999999999999,999.9999999999999
R00248__chlo,-1000.0,1000.0
R01641__pero,-1000.0,1000.0
R02867__cytop,-1000.0,1000.0
TR2000026__chlomem,-1000.0,1000.0
R03534__cytop,-1000.0,1000.0
R01015__chlo,-1000.0,1000.0
TR2900053_mitmem__mitmem,-1000.0,1000.0
R03920__cytop,-1000.0,1000.0
R08575__extr,-1000.0,1000.0000000000001
R04919__cytop,-1000.0,1000.0
R03634__extr,-1000.0,1000.0
R00767__chlo,-1000.0,1000.0
TZ2900054_plasmem__plasmem,-1000.0,500.0000000000005
R01221__cytop,-1000.0,1000.0
R01325__cytop,-1000.0,1000.0
TR0000242_chlomem__chlomem,-1000.0,1000.0
R02236__cytop,-1000.0,1000.0
R00754__cytop,-1000.0,1000.0
R01080__cytop,-1000.0,1000.0
R11382__cytop,-1000.0,1000.0
R04682__er,-1000.0,999.9999999999999
R01067__cytop,-1000.0,1000.0
R01858__cytop,-1000.0000000000001,1000.0000000000001
